Component,Category,Reseller,Link to Buy,Price Bought,Current Price
Sapphire RX 480,Graphic Card,Newegg,Bought from Newegg. Due to Ethereum minining pricing is unpredictable but the price shown right is the original purchase price,$239.00,$220.00
Intel i5-6600K,CPU,Micro Center,http://www.microcenter.com/product/451885/Core_i5-6600K_35GHz_1151_Boxed_Processor,$200.00,$180.00
CM Hyper 212 Evo Cooler with 120mm PWM fan,CPU Cooler,Amazon,https://www.amazon.com/gp/product/B005O65JXI/ref=oh_aui_detailpage_o09_s00?ie=UTF8&psc=1,$29.99,$32.19
Crucial Ballistix (8GB DDR4-2400 RAM),RAM,Micro Center,http://www.microcenter.com/product/437030/Ballistix_Sport_8GB_2_x_4GB_DDR4-2400_(PC4-19200)_Dual_Channel_Desktop_Memory_Kit,$39.99,$79.99
MSI PC Mate Z170A Mobo,Motherboard,Newegg,https://www.newegg.com/Product/Product.aspx?Item=N82E16813130871&cm_re=msi_pc_mate_motherboard_z170a-_-13-130-871-_-Product,$92.88,$112.27
Kingston SSD,SSD,Micro Center,http://www.microcenter.com/product/465268/120GB_SSDNow_UV400_25_SSD,$35.99,$49.99
Corsair 750M Modular PSU,Power Supply,Micro Center,https://www.newegg.com/Product/Product.aspx?Item=N82E16817139051&cm_re=cx750m-_-17-139-051-_-Product,$74.99,$96.99
"Corsair Case with Custom Paint and Re-design with 0.25"" thick acrylic side window for better acoustic",Case,Micro Center,http://www.microcenter.com/product/441013/Carbide_Series_SPEC-01_Mid_Tower_Gaming_Computer_Case,$44.99,$47.99
120mm Fans x4 generic but quiet fans,Case Fan,Amazon,https://www.amazon.com/gp/product/B00KB8CB9O/ref=oh_aui_detailpage_o08_s00?ie=UTF8&psc=1,$15.00,$14.99
TP-Link Wireless Dual Band PCI Express Adapter,Network Adapter,Amazon,https://www.amazon.com/gp/product/B007GMPZ0A/ref=oh_aui_detailpage_o06_s00?ie=UTF8&psc=1,$37.36,$39.99
WD 250GB SATA 6gb/s,Mechanical Hard Drive,Amazon,https://www.amazon.com/Western-Digital-WD2500AAKX-Desktop-7200rpm/dp/B01B5FONYM/ref=sr_1_2?ie=UTF8&qid=1501475667&sr=8-2&keywords=western+digital+external+hard+drive+250gb,$22.99,$32.99
RGB LED 5ft Strip rewire to connect to molex output of the PSU,LED,Ebay,Generic with IR remote controller,$12.00,$12.00
HDMI Gold Plated Cable,HDMI Cable,Amazon,https://www.amazon.com/gp/product/B00YNH0DV2/ref=oh_aui_detailpage_o05_s00?ie=UTF8&psc=1,$7.99,$9.99
Black Sleeved PWM Fan Splitter Cable 1 to 2 Converter,Accessory,Amazon,https://www.amazon.com/gp/product/B00OZ10FI2/ref=oh_aui_detailpage_o07_s00?ie=UTF8&psc=1,$5.99,$5.59
HDMI Splitter,Accessory,Amazon,https://www.amazon.com/gp/product/B01ER793NQ/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1,$20.99,$17.99
Wireless keyboard and Mouse,Accessory,Amazon,https://www.amazon.com/gp/product/B01C9XJPBK/ref=oh_aui_detailpage_o06_s01?ie=UTF8&psc=1,$20.99,$20.99
,,,,,
Total (without tax),,,,$901.14,$973.95
